# [0]           [1]            [2]            [3]            
# t             max-min        max(By^2)      pm             
9.797721e+00  5.571346e-02  1.010827e-03  1.008729e-02
9.899718e+00  6.005032e-02  1.170029e-03  1.010077e-02
9.999113e+00  6.376323e-02  1.336557e-03  1.011513e-02
1.009834e+01  6.765023e-02  1.557687e-03  1.013065e-02
1.019979e+01  7.180950e-02  1.795257e-03  1.014754e-02
1.029863e+01  7.596283e-02  2.034425e-03  1.016468e-02
1.039969e+01  8.023680e-02  2.314066e-03  1.018262e-02
1.049815e+01  8.465443e-02  2.500369e-03  1.020032e-02
1.059885e+01  8.944753e-02  2.856917e-03  1.021884e-02
1.069938e+01  9.454959e-02  3.185024e-03  1.023797e-02
1.079972e+01  1.000362e-01  3.460460e-03  1.025759e-02
1.089983e+01  1.060747e-01  3.839067e-03  1.027829e-02
1.099971e+01  1.129043e-01  4.277835e-03  1.030145e-02
1.109933e+01  1.208156e-01  4.811496e-03  1.032878e-02
1.119867e+01  1.298528e-01  5.446274e-03  1.036209e-02
1.129772e+01  1.397049e-01  6.281455e-03  1.040491e-02
1.139875e+01  1.511142e-01  7.473432e-03  1.046158e-02
1.149932e+01  1.634939e-01  9.093772e-03  1.053545e-02
1.159936e+01  1.771976e-01  1.119819e-02  1.063128e-02
1.169883e+01  1.923334e-01  1.412998e-02  1.075454e-02
1.180000e+01  2.092061e-01  1.824988e-02  1.091443e-02
1.189827e+01  2.279876e-01  2.360639e-02  1.110771e-02
1.199820e+01  2.481304e-01  3.074657e-02  1.134755e-02
1.209974e+01  2.708096e-01  3.969297e-02  1.163986e-02
1.219845e+01  2.935029e-01  4.929734e-02  1.197298e-02
1.229892e+01  3.161566e-01  6.169338e-02  1.236362e-02
1.239898e+01  3.361321e-01  7.384707e-02  1.280705e-02
1.249878e+01  3.521852e-01  8.768319e-02  1.330633e-02
1.259846e+01  3.629370e-01  1.012062e-01  1.386649e-02
1.269810e+01  3.687829e-01  1.139171e-01  1.449216e-02
1.279783e+01  3.691435e-01  1.256149e-01  1.518675e-02
1.289991e+01  3.638539e-01  1.369266e-01  1.596918e-02
1.300000e+01  3.541093e-01  1.475374e-01  1.680410e-02
1.309808e+01  3.413191e-01  1.573919e-01  1.768429e-02
1.319871e+01  3.314869e-01  1.666085e-01  1.864739e-02
1.329964e+01  3.285288e-01  1.746790e-01  1.967145e-02
1.339865e+01  3.196704e-01  1.811044e-01  2.072982e-02
1.349798e+01  3.190907e-01  1.855569e-01  2.184259e-02
1.359998e+01  3.121587e-01  1.893156e-01  2.303688e-02
1.369784e+01  2.994584e-01  1.918841e-01  2.422576e-02
1.379838e+01  2.832536e-01  1.910970e-01  2.547460e-02
1.389925e+01  2.655751e-01  1.889220e-01  2.673905e-02
1.399797e+01  2.474063e-01  1.831701e-01  2.796487e-02
1.409909e+01  2.322089e-01  1.728636e-01  2.918207e-02
1.419796e+01  2.215891e-01  1.623996e-01  3.031585e-02
1.429912e+01  2.137760e-01  1.552721e-01  3.139926e-02
1.439791e+01  2.134048e-01  1.603838e-01  3.235919e-02
1.449896e+01  2.135743e-01  1.641828e-01  3.321044e-02
1.459988e+01  2.151464e-01  1.660970e-01  3.389648e-02
1.469838e+01  2.179935e-01  1.665802e-01  3.437247e-02
1.479896e+01  2.220386e-01  1.650240e-01  3.463301e-02
1.489935e+01  2.260914e-01  1.649382e-01  3.465158e-02
1.499955e+01  2.313974e-01  1.667586e-01  3.444565e-02
1.509958e+01  2.384613e-01  1.682829e-01  3.405404e-02
1.519945e+01  2.458868e-01  1.708451e-01  3.352580e-02
1.529914e+01  2.543575e-01  1.711699e-01  3.289472e-02
1.539853e+01  2.647158e-01  1.710028e-01  3.219026e-02
1.549980e+01  2.759321e-01  1.662154e-01  3.140556e-02
1.559843e+01  2.865346e-01  1.585302e-01  3.055878e-02
1.569896e+01  2.947700e-01  1.487267e-01  2.960149e-02
1.579822e+01  2.971475e-01  1.408178e-01  2.855844e-02
1.589896e+01  2.973794e-01  1.315623e-01  2.743562e-02
1.599941e+01  3.096390e-01  1.223721e-01  2.629647e-02
1.609873e+01  3.162959e-01  1.112978e-01  2.521086e-02
1.619813e+01  2.894948e-01  1.068960e-01  2.419599e-02
1.629925e+01  3.058225e-01  1.028455e-01  2.316093e-02
1.639876e+01  3.375218e-01  9.590050e-02  2.209754e-02
1.649899e+01  3.916571e-01  7.779516e-02  2.112384e-02
1.659960e+01  4.277351e-01  7.967733e-02  2.046774e-02
1.669974e+01  4.395366e-01  8.720511e-02  2.029737e-02
1.679859e+01  4.471712e-01  9.315102e-02  2.059642e-02
1.689873e+01  4.446588e-01  9.661492e-02  2.122244e-02
1.699932e+01  4.149687e-01  9.466271e-02  2.199316e-02
1.709885e+01  3.703347e-01  8.540624e-02  2.279230e-02
1.719986e+01  3.341024e-01  9.837954e-02  2.363596e-02
1.729809e+01  3.234986e-01  1.237715e-01  2.450905e-02
1.739920e+01  3.241683e-01  1.556108e-01  2.546358e-02
1.749828e+01  3.300933e-01  1.856557e-01  2.642589e-02
1.759975e+01  3.293038e-01  2.094684e-01  2.738117e-02
1.769913e+01  3.245875e-01  2.177632e-01  2.821635e-02
1.779865e+01  3.359520e-01  2.123248e-01  2.889618e-02
1.789839e+01  3.389042e-01  1.989217e-01  2.940679e-02
1.799858e+01  3.355599e-01  2.034885e-01  2.974872e-02
1.809936e+01  3.285535e-01  2.031606e-01  2.991624e-02
1.819846e+01  3.194812e-01  1.991395e-01  2.992083e-02
1.829788e+01  3.041536e-01  1.913823e-01  2.976956e-02
1.839946e+01  2.816295e-01  1.822983e-01  2.944243e-02
1.849862e+01  2.580030e-01  1.742329e-01  2.896744e-02
1.859997e+01  2.316223e-01  1.649322e-01  2.835351e-02
1.869899e+01  2.366095e-01  1.563151e-01  2.763814e-02
1.879970e+01  2.915821e-01  1.434922e-01  2.681611e-02
1.889887e+01  3.495360e-01  1.265743e-01  2.596730e-02
1.899943e+01  4.075515e-01  1.000668e-01  2.513216e-02
1.909861e+01  4.542289e-01  7.449012e-02  2.439079e-02
1.919930e+01  4.806962e-01  6.728116e-02  2.376620e-02
1.929855e+01  4.705076e-01  8.029030e-02  2.328544e-02
1.939907e+01  4.199146e-01  9.794179e-02  2.290629e-02
1.949842e+01  3.459880e-01  1.066069e-01  2.258200e-02
1.959860e+01  2.676261e-01  9.970701e-02  2.226305e-02
1.969936e+01  2.512420e-01  9.843391e-02  2.194388e-02
1.979888e+01  2.404871e-01  1.054606e-01  2.162587e-02
1.989976e+01  2.551362e-01  1.047157e-01  2.127355e-02
1.999800e+01  2.750586e-01  9.630330e-02  2.088712e-02
2.000000e+01  2.753483e-01  9.605922e-02  2.087898e-02
