# [0]           [1]            [2]            [3]            
# t             max-min        max(By^2)      pm             
9.798766e+00  2.787783e-01  1.935244e-01  2.743919e-02
9.898968e+00  2.844890e-01  1.844711e-01  2.767764e-02
9.998666e+00  2.924858e-01  1.715414e-01  2.776913e-02
1.009778e+01  3.016876e-01  1.586897e-01  2.779190e-02
1.019871e+01  3.133168e-01  1.527719e-01  2.779366e-02
1.029930e+01  3.204507e-01  1.503328e-01  2.779802e-02
1.039960e+01  3.245185e-01  1.475894e-01  2.779328e-02
1.049977e+01  3.249886e-01  1.412769e-01  2.775436e-02
1.059986e+01  3.269948e-01  1.303072e-01  2.764410e-02
1.069987e+01  3.289065e-01  1.154052e-01  2.747289e-02
1.079779e+01  3.303207e-01  9.638355e-02  2.732333e-02
1.089962e+01  3.279559e-01  1.102733e-01  2.727293e-02
1.099870e+01  3.243209e-01  1.151571e-01  2.737744e-02
1.109890e+01  3.196234e-01  1.101468e-01  2.759628e-02
1.119982e+01  3.135269e-01  1.027549e-01  2.786472e-02
1.129913e+01  3.153499e-01  1.073264e-01  2.809995e-02
1.139950e+01  3.116568e-01  1.217963e-01  2.822124e-02
1.149944e+01  3.011292e-01  1.309408e-01  2.821781e-02
1.159954e+01  2.964639e-01  1.293231e-01  2.810040e-02
1.169797e+01  2.925668e-01  1.154387e-01  2.788320e-02
1.179903e+01  2.839913e-01  1.147370e-01  2.758279e-02
1.189845e+01  2.844039e-01  1.257199e-01  2.726961e-02
1.199796e+01  2.947983e-01  1.392509e-01  2.698437e-02
1.209891e+01  3.028394e-01  1.529517e-01  2.669666e-02
1.219942e+01  3.027875e-01  1.576527e-01  2.638391e-02
1.229847e+01  2.978355e-01  1.579328e-01  2.608352e-02
1.239820e+01  2.913183e-01  1.713982e-01  2.588466e-02
1.249983e+01  3.020398e-01  2.188231e-01  2.583064e-02
1.259837e+01  3.108470e-01  2.364887e-01  2.583407e-02
1.269798e+01  3.390479e-01  2.342175e-01  2.561507e-02
1.279956e+01  3.779409e-01  1.875391e-01  2.519069e-02
1.289993e+01  4.178428e-01  1.373380e-01  2.495443e-02
1.299911e+01  3.868324e-01  1.475766e-01  2.497278e-02
